10849
1946	9493	9890
1824	3171	2998
6887	8540	2423
862	2286	6722
5803	8700	10595
2222	10587	3540
8367	1850	7089
9969	5559	4315
8164	9105	6591
10348	2417	785
9300	9076	7883
2294	10679	964
6490	4643	8773
8728	1322	6663
5489	10769	10728
2454	9107	7735
10530	3937	4989
3343	2916	8855
7414	2422	87
1393	2550	3715
1230	532	4224
2195	4573	7533
1946	8451	10717
10232	2164	2103
4852	4792	3578
4873	4449	2281
6887	2114	10297
6009	789	9519
1334	8615	4896
7831	1318	4687
746	9790	10749
9826	11045	1212
10699	4072	4801
5773	5321	3090
8450	6996	5804
1946	615	1527
10518	5513	4973
1946	193	523
5481	4275	9004
6740	10873	10233
2349	7269	8477
10316	3498	2972
746	7482	3644
8164	5240	10643
10784	8761	1063
3606	5151	2067
6887	5688	2588
2195	6347	8582
746	872	7200
2095	1905	9318
8367	2897	92
9120	3499	5942
9399	10306	5601
10518	5970	1634
9196	390	9088
2264	1530	10897
3728	2044	9777
9946	5172	8588
5489	3149	9733
9196	6408	3416
972	5604	3381
4852	4792	1946
714	4513	5476
8450	9999	3104
10232	9466	7222
6887	8568	3517
6009	1717	3664
10884	962	6854
4852	455	7906
9729	7288	6633
1094	3251	5708
8438	10687	7614
4873	388	3165
6009	6565	3566
3404	7267	6224
6887	3187	7536
9067	8544	813
10784	7812	524
2222	6050	9371
9969	1208	10768
8979	7607	7395
1946	487	10949
1946	2649	5969
1946	7021	6590
9826	3718	5755
4873	8084	7222
5750	2359	3224
9826	4131	6935
8036	85	7060
1946	2717	4626
2976	5188	2211
5445	7021	1601
2919	3794	8635
9439	4540	7640
2875	2812	2025
5844	9035	8103
9969	11038	6933
4322	7630	325
7162	5446	2615
9260	9319	5639
2976	5962	2211
9969	10555	2196
3733	7581	5618
10858	275	3690
4852	4792	7796
5247	7703	5281
8164	4352	5952
1946	5495	7405
4852	4792	8506
1824	1783	10065
1946	9507	1626
9969	1261	286
8438	9133	944
6009	6391	4345
3526	9370	8296
5445	4082	4421
10518	5888	7540
7876	934	2896
1868	5688	9750
10858	4384	2025
1993	2049	174
3129	5394	773
1946	4927	10570
10232	110	8707
1819	6771	8577
627	8532	444
5803	1199	10044
2976	4677	1062
9120	6084	4461
10530	3534	1757
4852	4282	1047
10401	457	6527
5372	1605	8108
2322	7280	5543
6887	1475	9179
8728	3755	6520
8367	2893	9262
5773	9927	3545
746	9271	731
8367	3799	1354
1946	6937	1892
2195	10267	1929
1946	5230	1228
3630	7962	5246
1506	6886	7290
7945	126	10264
1946	9834	3506
8450	2045	9862
6009	5573	463
4852	4792	5717
8383	3305	1739
2095	5319	3258
6616	320	1412
7405	1774	10015
5300	5869	5415
5160	1286	5486
2222	2587	2917
6887	1710	7607
5750	5099	3499
5372	3796	9081
9969	2188	9495
7405	3722	2878
9969	9179	5082
2195	10315	2922
1946	6724	5850
2358	1346	8501
9300	769	1638
9938	8044	7241
10784	6703	9639
1662	7178	8887
1946	1543	912
2195	9494	10337
5489	5688	3464
5356	7279	3735
6009	2553	8219
6887	9484	1936
8438	5764	5645
6887	10056	7265
10784	2515	9639
7320	10581	9639
6887	8608	8187
5605	8460	8624
1472	5971	5871
3549	853	2075
1993	2160	5339
191	1562	1750
4020	10225	5823
8976	8600	3857
2454	10860	1684
1946	9493	3834
10889	7051	2728
3526	6094	10325
9370	9742	8432
10401	5234	7431
7405	1373	8218
6887	1618	8809
4446	1590	5322
8514	1075	3339
7320	8675	10899
9969	6626	6080
6616	10952	9154
9120	144	1400
5773	7405	670
2195	5688	1456
1946	7203	3497
4852	4792	3682
2195	6187	10593
3832	8617	3979
1946	1968	797
6887	523	5729
10789	1596	164
9300	3734	3114
1946	6248	5706
9969	3879	4617
5803	8429	9723
5372	9355	5085
6887	51	2091
6887	8798	927
2095	6087	7524
1230	6212	9674
8976	7996	417
10518	10935	2020
6399	173	67
1946	781	6889
746	3716	9629
1763	6587	3148
742	142	807
10518	1554	1037
9300	769	3
7839	6094	10169
10784	2317	1820
1506	4673	7178
9300	894	291
6887	10313	6830
483	2142	727
6887	244	8341
2395	1929	141
10518	5571	9008
1824	7841	938
4852	4792	9387
10518	4288	4542
4020	7559	5706
6887	1676	10592
7876	10528	8158
9969	8455	2570
7444	4918	7614
6009	2642	7147
6887	6837	7683
1946	1075	1697
6399	34	10465
2195	1963	3913
244	798	8866
9931	5125	334
10401	7563	4114
5773	155	6164
1946	2900	9097
1993	4431	9631
6887	272	7503
6009	10380	10837
7405	6819	547
6887	5316	6528
475	7031	9629
1993	9129	2126
8976	1381	4884
1819	6320	1260
4020	10093	6385
2195	2279	10613
2188	9439	7784
9300	1481	1019
4873	2689	4547
5803	2340	5630
1946	4384	9465
1946	3497	7789
7573	440	5426
3404	11027	810
1012	10274	5747
10518	2080	4790
4852	4792	3151
7067	4264	3116
8514	9390	8923
1946	6905	5791
2222	10083	452
4852	4792	5477
2222	8601	382
1993	8971	3340
1012	3374	291
8736	5608	9165
4852	4792	526
10784	6124	1478
2222	6818	5831
3549	7226	8374
8335	3040	2933
6887	9139	5263
1946	2059	6253
6039	3041	4064
7162	8597	10815
5559	5696	8356
6616	9150	1119
7162	2705	10438
10518	10359	9223
3343	5902	9796
3728	6655	3595
6887	10424	7829
4873	613	10467
2195	6618	2421
8450	10553	7829
1946	2133	5598
8976	10947	1576
10232	9018	448
6887	7666	6901
746	5460	9371
7405	903	6522
5803	6149	2721
8367	7046	3427
10889	9631	3120
6887	5961	9310
1946	5583	531
5559	1773	7756
4852	4792	4236
1946	8641	1946
8450	9438	1682
5372	3348	1599
4873	9525	2354
6490	1118	3067
6887	7518	10553
1946	405	10705
8736	6094	262
9969	1002	3655
7405	7624	2623
6887	52	7829
5372	3178	4271
10784	3164	2498
2294	8613	1831
201	962	1604
6887	3526	9213
6887	3368	2385
1868	9491	10515
2919	4396	8198
8367	1405	7781
9196	3972	343
2919	7274	1528
6887	758	4699
6887	5688	7858
1946	9494	10946
746	144	2037
7017	10098	9178
8367	7632	3368
8976	7090	1070
9067	1183	3312
6399	146	7614
9300	150	10972
2294	4206	7855
1946	6834	9155
8363	6299	2812
4852	4792	10049
299	7068	2092
10232	97	657
2188	9439	1446
1230	9494	2898
2195	3911	3491
4852	4792	1733
8728	10573	258
1946	9828	2260
2294	10201	6000
4873	2330	7142
4852	4792	145
7162	3352	8289
2868	4420	2246
2195	1262	1857
9300	6880	8815
8438	1634	1983
6399	9494	4686
1946	484	10026
8976	7746	7985
6740	1167	6248
1946	1148	1058
244	2680	5677
9946	2904	7771
8976	8071	8640
2663	3600	1959
10518	10696	1453
1946	5328	2551
1012	7676	1229
2222	1994	5693
2976	1625	4932
6887	1420	9774
9399	9491	10831
1993	9295	10897
1946	2594	9463
3181	9263	10022
3404	2958	5059
8976	10172	6263
9399	2468	8574
6887	9084	3664
6740	3001	4544
1946	8472	8119
8450	5730	6682
5750	2196	494
1946	8554	10947
9067	692	2238
6887	9435	10644
1230	1074	8427
8976	3964	4054
5372	3432	1911
1824	7094	4400
9946	3936	10108
7162	9494	669
972	6425	5284
10784	7040	4893
3549	9082	6199
6887	2044	7182
3404	2164	8157
2478	5932	5010
7573	5648	3840
4852	4792	8633
2294	3932	2294
3404	9310	7875
6887	2085	3873
9969	6653	1479
9969	8143	10306
2919	6567	10568
2195	10981	1768
9826	10747	10728
4852	10003	7906
1946	10225	4626
2095	8336	9773
4873	8475	6155
1946	968	1658
2976	4939	10272
1824	2216	5825
6275	4014	6394
2195	6618	6774
3850	123	4545
1946	7633	2741
6399	8	5596
2195	1526	4788
2222	2812	5451
4852	4792	8833
2919	8638	6487
8367	4854	5600
5750	3791	494
6740	2918	10564
8438	10223	7337
4852	4792	7655
6887	6477	5568
10518	10397	10329
1946	7138	5132
2195	5310	6889
6887	9949	209
10604	8483	1920
3404	785	8910
8367	3318	1444
3728	1468	712
1946	1200	5706
8976	7833	7615
5559	509	7398
10719	3705	5076
9042	9697	10551
9826	4521	9496
5750	2354	7756
3181	9999	10743
4579	10177	7416
5773	9890	10208
5773	9596	2591
10858	5149	5526
6616	7129	5269
3728	10603	3922
4852	4875	3722
444	6792	9535
6009	1484	4250
3850	1969	2957
1946	2459	10307
5445	2020	3689
5844	2706	3950
1946	10692	7713
2195	1479	6323
6887	1865	695
1946	6474	5131
9770	8033	1023
5445	1835	2148
3181	2695	2489
6887	7897	2577
9399	588	816
4020	5659	7903
4852	4792	2465
9969	2341	407
6887	9753	5446
4852	4792	1945
3733	8820	7317
8283	9185	8446
4878	10898	6106
2195	2583	10740
2195	2207	2517
6740	4278	8898
6399	7486	5351
6399	3451	8899
752	9380	9913
1946	173	9021
5750	1227	5784
5372	2652	5984
5559	3569	9307
10354	1210	4106
2195	9067	6950
244	2150	3664
3181	6094	5458
8367	9106	7156
10858	6257	9559
1946	6084	2646
4852	4792	8650
6009	3143	4880
7162	5688	7180
2454	5285	2323
2195	7935	9629
9770	1878	5487
972	7923	6966
6583	10138	6762
9300	769	4097
2095	8819	3512
1824	5805	507
9770	6618	8555
192	6084	6753
3539	10361	8179
4852	4792	10466
5372	1171	1143
1824	1857	9413
1472	1755	4605
746	5877	444
2919	8979	6969
1696	7660	11057
10232	3721	9191
8976	5929	2410
2294	804	811
2195	1494	10762
5654	7352	1688
4760	3569	5898
972	7142	4314
627	7929	5960
2195	7208	4355
5571	3926	6473
2195	8811	7162
5844	10340	4003
4791	9999	7616
3526	7987	2709
444	9494	3997
7973	4530	10900
5750	10234	6704
6887	4077	5777
1138	6196	3084
8367	6938	4363
7036	7936	9218
6887	8149	8088
1946	487	8291
9946	9176	7158
8367	2400	5944
4873	4837	4013
746	1005	6048
2454	3634	199
2313	9643	8581
6887	4485	1245
9196	6182	5706
6887	1903	1088
3181	2519	10288
2358	1884	8075
2222	4792	4255
9946	2575	8553
5622	10540	1817
7320	2164	6696
6312	9408	3236
1946	9769	10673
10889	7934	8331
6399	2681	5964
6399	2812	1432
6616	7129	4732
8976	233	5259
192	10135	772
4873	8731	9934
2222	2507	7399
1946	562	794
5773	5106	6228
5750	1171	4435
8367	10066	5336
1963	2063	2935
3832	4792	7359
10348	10043	1628
8976	10045	916
1946	9736	1261
2222	4940	5207
6740	10339	3379
2976	2858	8019
2569	4617	4367
6364	5688	10079
9120	10028	9636
1946	5688	10443
2195	10843	1567
9196	3736	11055
6399	6466	329
1094	10546	4667
1824	675	1345
10080	5028	4691
6887	5959	7961
9969	10037	8260
9300	2875	4271
9865	5280	7407
10348	3658	4973
1824	929	3256
2358	2244	5160
10784	21	7258
1946	1587	8144
2569	3312	1693
5590	9821	3092
9300	769	6548
746	3112	4090
7321	7021	10249
9969	9742	4144
10858	8877	5807
7162	3187	8698
9300	9865	371
746	6153	4090
